label,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,kp_34,kp_35,kp_36,kp_37,kp_38,kp_39,kp_40,kp_41,kp_42,kp_43,kp_44,kp_45,kp_46,kp_47,kp_48,kp_49,kp_50,kp_51,kp_52,kp_53,kp_54,kp_55,kp_56,kp_57,kp_58,kp_59,kp_60,kp_61,kp_62
hola,0.809492,0.602651,-0.0,0.744941,0.607468,0.000152,0.676879,0.570031,0.004884,0.638557,0.537978,0.003602,0.617474,0.502572,0.002193,0.65836,0.462217,0.030892,0.615335,0.420859,0.025192,0.579772,0.394609,0.013449,0.548287,0.370999,0.001226,0.670556,0.439006,0.01706,0.618145,0.392938,0.009585,0.57889,0.369992,-0.004615,0.543032,0.351786,-0.017081,0.689996,0.423677,-0.000733,0.632618,0.381019,-0.014288,0.591687,0.364751,-0.025835,0.554356,0.353943,-0.034159,0.714244,0.417344,-0.020066,0.652405,0.384851,-0.035331,0.611292,0.372372,-0.042875,0.577201,0.362583,-0.048151
hola,0.808587,0.600379,-0.0,0.742813,0.607014,-0.00204,0.675256,0.571645,0.000511,0.63671,0.540419,-0.002362,0.615369,0.503048,-0.005278,0.655505,0.465787,0.025576,0.61126,0.422556,0.017051,0.575161,0.395801,0.003638,0.542863,0.372732,-0.00935,0.667802,0.442016,0.012731,0.614925,0.395587,0.002915,0.574671,0.372449,-0.012242,0.537332,0.35462,-0.025316,0.687046,0.425328,-0.004079,0.63034,0.382506,-0.018453,0.589235,0.366234,-0.03008,0.551076,0.355599,-0.038689,0.71214,0.416585,-0.022589,0.652315,0.384989,-0.03829,0.611716,0.372488,-0.046049,0.576758,0.362239,-0.051608
hola,0.806355,0.597179,-0.0,0.740316,0.602527,0.001478,0.671548,0.567751,0.005327,0.632188,0.537325,0.002739,0.611688,0.500783,-0.000201,0.651075,0.46247,0.030786,0.604197,0.41763,0.022952,0.567235,0.392892,0.009562,0.533818,0.372287,-0.003217,0.662394,0.440888,0.016184,0.607147,0.39302,0.007813,0.566592,0.370353,-0.007683,0.529404,0.354184,-0.021176,0.680393,0.424636,-0.002291,0.620943,0.380055,-0.015154,0.578216,0.363508,-0.027345,0.53953,0.354771,-0.036636,0.704309,0.414573,-0.022254,0.6417,0.383829,-0.036875,0.599692,0.370819,-0.044704,0.563929,0.360255,-0.050516
hola,0.818394,0.586496,-0.0,0.750235,0.587488,-0.000428,0.681829,0.55004,0.001336,0.640707,0.517927,-0.003416,0.616128,0.482904,-0.008502,0.65534,0.443725,0.027878,0.604947,0.398929,0.016406,0.567731,0.376351,-0.000372,0.533538,0.357917,-0.014794,0.667621,0.420267,0.013536,0.609576,0.37291,0.00419,0.568746,0.348331,-0.012205,0.529703,0.329899,-0.026725,0.686863,0.401718,-0.005014,0.625869,0.355911,-0.017547,0.584236,0.336228,-0.029507,0.543904,0.324582,-0.039166,0.713067,0.389142,-0.025432,0.651666,0.356796,-0.038739,0.610802,0.342843,-0.045083,0.573558,0.331861,-0.050276
hola,0.848637,0.558635,-0.0,0.779717,0.562185,-0.005078,0.711138,0.522934,-0.005802,0.670578,0.482884,-0.011407,0.649157,0.441532,-0.016437,0.683411,0.40787,0.020045,0.630083,0.35522,0.006471,0.592847,0.328477,-0.011009,0.559378,0.303914,-0.025698,0.69809,0.381929,0.008277,0.637194,0.320855,-0.003328,0.59391,0.289744,-0.018876,0.553582,0.262896,-0.032222,0.721087,0.363507,-0.007879,0.659921,0.304644,-0.021475,0.617439,0.279209,-0.033004,0.57818,0.261265,-0.041853,0.753441,0.35258,-0.02625,0.698237,0.308417,-0.039053,0.658838,0.290699,-0.045085,0.623344,0.278168,-0.049903
hola,0.905432,0.53502,-0.0,0.832537,0.541346,-0.009758,0.758199,0.493816,-0.011721,0.717714,0.441577,-0.017172,0.704374,0.40049,-0.021803,0.738656,0.367732,0.013418,0.683554,0.303817,-0.003,0.644912,0.267609,-0.021414,0.612158,0.236376,-0.036282,0.760335,0.337758,0.003889,0.695968,0.269234,-0.011269,0.650698,0.227637,-0.027833,0.61123,0.19042,-0.040303,0.790725,0.320354,-0.010286,0.727362,0.251325,-0.026569,0.682073,0.212732,-0.039434,0.641936,0.180613,-0.047782,0.832279,0.314623,-0.026805,0.779463,0.258106,-0.041964,0.740309,0.228579,-0.049354,0.705653,0.204569,-0.05384
hola,0.811246,0.622082,-0.0,0.753381,0.634303,-0.00313,0.684352,0.600583,-1.2e-05,0.639233,0.574039,-0.001875,0.60213,0.555572,-0.00353,0.667707,0.484226,0.025555,0.62018,0.447066,0.019396,0.581665,0.417274,0.008945,0.549776,0.39143,-0.002217,0.678854,0.4614,0.01296,0.622031,0.416669,0.002896,0.580429,0.390615,-0.009133,0.542292,0.3696,-0.018626,0.696658,0.448358,-0.003827,0.637828,0.407961,-0.019826,0.597166,0.390203,-0.028931,0.559129,0.37521,-0.033866,0.718598,0.446774,-0.022503,0.660886,0.409447,-0.038574,0.62205,0.394946,-0.045067,0.588058,0.384086,-0.048631
hola,0.813002,0.624141,-0.0,0.75456,0.635467,-0.003089,0.684414,0.599933,0.000623,0.638648,0.572784,-0.000652,0.601556,0.554874,-0.001816,0.667601,0.484592,0.026811,0.620321,0.446266,0.021244,0.58256,0.41666,0.01083,0.551092,0.390491,-0.000388,0.678796,0.461572,0.014499,0.622774,0.415971,0.005443,0.581869,0.389405,-0.006669,0.544469,0.3682,-0.016482,0.696934,0.448665,-0.002068,0.637802,0.406878,-0.017236,0.597877,0.389184,-0.026682,0.560985,0.374704,-0.032087,0.719581,0.446656,-0.020544,0.661451,0.407727,-0.0364,0.622371,0.392747,-0.043216,0.588665,0.381707,-0.047135
hola,0.812644,0.627678,-0.0,0.751322,0.634065,-0.003158,0.684135,0.600261,-0.001742,0.638804,0.574157,-0.005501,0.601349,0.554513,-0.009343,0.666822,0.484672,0.024233,0.618696,0.442928,0.016273,0.581455,0.414964,0.00373,0.550019,0.390476,-0.008358,0.678019,0.4627,0.011589,0.621669,0.414089,0.00228,0.58028,0.388216,-0.01088,0.542945,0.368484,-0.021753,0.696391,0.450485,-0.005165,0.637256,0.405087,-0.019159,0.596693,0.387189,-0.028994,0.560202,0.373861,-0.03527,0.719785,0.448547,-0.02384,0.662905,0.407261,-0.038313,0.623664,0.392205,-0.044473,0.590196,0.3822,-0.048219
hola,0.813644,0.624415,-0.0,0.752827,0.634244,-0.001913,0.685007,0.599683,0.001464,0.639624,0.573777,-0.000356,0.602721,0.553887,-0.002065,0.665536,0.48272,0.028087,0.619237,0.444312,0.022426,0.582711,0.416959,0.011742,0.552173,0.392469,0.000612,0.67663,0.459564,0.015328,0.622022,0.413951,0.007195,0.581789,0.389046,-0.004346,0.545308,0.367826,-0.013937,0.694995,0.447114,-0.001691,0.637108,0.405476,-0.015256,0.597972,0.387704,-0.023725,0.561745,0.372107,-0.028917,0.717799,0.446649,-0.020621,0.661271,0.408162,-0.034498,0.622546,0.392612,-0.040174,0.588766,0.380234,-0.043603
hola,0.815655,0.624363,-0.0,0.756995,0.635658,-0.002133,0.686164,0.599915,0.002264,0.640418,0.572954,0.001247,0.60266,0.554604,0.000235,0.667212,0.482779,0.028865,0.619781,0.445328,0.023376,0.581491,0.416428,0.012973,0.549543,0.391464,0.001809,0.678458,0.459294,0.015594,0.621552,0.413905,0.006125,0.579535,0.388161,-0.006179,0.54082,0.368567,-0.015841,0.69699,0.446017,-0.002,0.636959,0.404366,-0.018021,0.596389,0.387643,-0.027577,0.558832,0.374107,-0.032623,0.719749,0.444327,-0.021431,0.658813,0.405322,-0.037844,0.618444,0.390764,-0.044591,0.583946,0.380276,-0.048177
hola,0.816911,0.624933,-0.0,0.754161,0.634336,-0.002855,0.687022,0.599829,-0.000216,0.641971,0.572711,-0.002626,0.605189,0.553982,-0.004902,0.669565,0.484378,0.026799,0.621868,0.44518,0.020539,0.585029,0.417277,0.00901,0.55434,0.39159,-0.00283,0.680989,0.461115,0.014473,0.625023,0.414775,0.006367,0.584109,0.388203,-0.005738,0.547984,0.365744,-0.016291,0.699449,0.448467,-0.002166,0.641373,0.404946,-0.01557,0.601348,0.386516,-0.024841,0.565805,0.371405,-0.031088,0.723327,0.446071,-0.020809,0.667692,0.406857,-0.034711,0.628651,0.391987,-0.040824,0.59512,0.381044,-0.044951
hola,0.818768,0.624028,-0.0,0.758014,0.635094,-0.002668,0.688871,0.600841,0.000861,0.643577,0.574836,-0.000871,0.6069,0.556163,-0.002555,0.671139,0.483252,0.028081,0.623682,0.445223,0.022312,0.586379,0.417249,0.011441,0.5552,0.392126,3.5e-05,0.68241,0.459779,0.01532,0.626129,0.414497,0.006443,0.58472,0.389192,-0.005951,0.54721,0.36885,-0.016136,0.700734,0.446645,-0.001789,0.641879,0.404022,-0.016885,0.601489,0.387198,-0.026543,0.564631,0.37347,-0.032137,0.723738,0.444176,-0.020777,0.664533,0.403812,-0.036275,0.624342,0.389078,-0.042792,0.590005,0.378549,-0.046561
hola,0.856061,0.614929,-0.0,0.789951,0.61662,-0.005538,0.721634,0.575229,-0.006204,0.677923,0.545211,-0.011504,0.646118,0.51652,-0.016523,0.706822,0.450153,0.017138,0.660306,0.394257,0.005745,0.624025,0.359841,-0.008735,0.593441,0.330709,-0.021797,0.721166,0.428923,0.005283,0.666706,0.367388,-0.005441,0.624865,0.335895,-0.018428,0.588235,0.31053,-0.029894,0.742648,0.418071,-0.010917,0.686655,0.359315,-0.025805,0.645105,0.336814,-0.03584,0.60909,0.320716,-0.043103,0.770131,0.417124,-0.02929,0.719715,0.369035,-0.044302,0.680547,0.351952,-0.051113,0.64645,0.342156,-0.056035
hola,0.917082,0.59566,-0.0,0.84925,0.59631,-0.016421,0.779481,0.551644,-0.024986,0.734774,0.51488,-0.035678,0.702758,0.47792,-0.045829,0.777979,0.422157,-0.00258,0.728262,0.351421,-0.02379,0.692671,0.30765,-0.04368,0.662909,0.271556,-0.058384,0.799669,0.402953,-0.009926,0.744013,0.329286,-0.028888,0.701918,0.28479,-0.046636,0.665637,0.246611,-0.059488,0.827338,0.394296,-0.021806,0.774937,0.321581,-0.041767,0.731041,0.284379,-0.055818,0.692191,0.255063,-0.064203,0.863086,0.398967,-0.036167,0.819593,0.335584,-0.054332,0.783146,0.307351,-0.062836,0.749431,0.287153,-0.067483
hola,0.804144,0.629314,-0.0,0.745675,0.640415,-0.004321,0.686125,0.609155,-0.001895,0.648213,0.578854,-0.003533,0.617523,0.553464,-0.004717,0.667023,0.509472,0.022171,0.621999,0.469138,0.015201,0.588871,0.444209,0.003544,0.560496,0.421363,-0.007388,0.677013,0.485822,0.012925,0.625377,0.441407,0.006425,0.587674,0.416958,-0.004724,0.554423,0.395341,-0.014478,0.69429,0.468959,-0.000311,0.6429,0.422292,-0.009869,0.606398,0.403252,-0.018842,0.573843,0.388167,-0.025674,0.720353,0.457663,-0.015611,0.674383,0.418642,-0.026166,0.640456,0.405476,-0.031464,0.609957,0.397279,-0.035404
hola,0.803146,0.628828,-0.0,0.745154,0.640205,-0.005657,0.685428,0.609998,-0.004151,0.647478,0.579851,-0.006213,0.619202,0.551062,-0.007391,0.668657,0.508827,0.019935,0.624333,0.467964,0.011648,0.59116,0.445169,-0.000701,0.562887,0.424893,-0.011543,0.678184,0.486136,0.011823,0.627282,0.441011,0.00468,0.589011,0.417023,-0.006193,0.55583,0.395533,-0.015605,0.694627,0.469926,-0.000401,0.644573,0.42225,-0.010152,0.607391,0.403376,-0.018821,0.575044,0.388827,-0.02527,0.719626,0.458683,-0.014783,0.674746,0.419118,-0.025138,0.64009,0.406408,-0.030236,0.609512,0.399547,-0.033871
hola,0.803531,0.628336,-0.0,0.744784,0.640962,-0.004221,0.684563,0.609649,-0.001486,0.646446,0.578456,-0.002628,0.617366,0.551833,-0.003098,0.667254,0.509514,0.022245,0.622425,0.469756,0.015127,0.589344,0.44644,0.003494,0.561082,0.426088,-0.007081,0.676757,0.485805,0.01346,0.62529,0.441656,0.007175,0.587014,0.417631,-0.003476,0.553707,0.396246,-0.012741,0.693209,0.468945,0.000639,0.642434,0.422395,-0.008356,0.605302,0.403391,-0.016968,0.572618,0.388243,-0.023464,0.718548,0.457884,-0.014256,0.672978,0.419777,-0.023719,0.638609,0.406398,-0.02859,0.608226,0.397496,-0.032254
hola,0.802901,0.626865,-0.0,0.744712,0.638302,-0.005969,0.684896,0.607752,-0.004612,0.646566,0.577723,-0.006753,0.617907,0.550909,-0.008113,0.666795,0.507197,0.019141,0.621892,0.467462,0.01119,0.588422,0.444073,-0.00093,0.55969,0.422371,-0.011958,0.676758,0.484201,0.011118,0.624974,0.440607,0.003832,0.587504,0.416765,-0.007094,0.554724,0.39516,-0.01659,0.693715,0.467763,-0.00092,0.642049,0.421695,-0.010917,0.605378,0.401889,-0.019726,0.572875,0.386393,-0.026342,0.719603,0.456014,-0.015111,0.674564,0.417442,-0.02572,0.640686,0.402493,-0.03107,0.610057,0.393152,-0.035
hola,0.80196,0.625042,-0.0,0.744136,0.636741,-0.005597,0.684445,0.605636,-0.003902,0.64672,0.574592,-0.00586,0.616865,0.551125,-0.007122,0.664582,0.504354,0.021084,0.619343,0.463918,0.013639,0.586549,0.441257,0.001432,0.558287,0.419523,-0.009752,0.674783,0.481756,0.01316,0.623286,0.437084,0.006771,0.587358,0.41283,-0.004137,0.555774,0.389729,-0.014029,0.692283,0.465608,0.001065,0.641808,0.418156,-0.008139,0.606342,0.398156,-0.01735,0.574918,0.38216,-0.024721,0.718689,0.453448,-0.013226,0.674355,0.416235,-0.023311,0.641298,0.402958,-0.029006,0.611147,0.394856,-0.03357
hola,0.802607,0.627567,-0.0,0.744141,0.638538,-0.005489,0.683815,0.606831,-0.003834,0.645521,0.57635,-0.005911,0.616439,0.550944,-0.007293,0.666819,0.506026,0.01998,0.621646,0.46601,0.011587,0.587901,0.443913,-0.00099,0.558582,0.423579,-0.012226,0.676716,0.482842,0.01155,0.624296,0.438025,0.004256,0.587106,0.414488,-0.006713,0.55436,0.393739,-0.016347,0.693726,0.466414,-0.001029,0.641247,0.419263,-0.011221,0.604326,0.400215,-0.020203,0.571579,0.385623,-0.026998,0.719469,0.45479,-0.015751,0.672916,0.415856,-0.026639,0.638691,0.402109,-0.032168,0.607826,0.394156,-0.036299
hola,0.824074,0.610133,-0.0,0.761961,0.615864,-0.005924,0.695976,0.580373,-0.006357,0.653841,0.545768,-0.011302,0.621979,0.515253,-0.01566,0.674982,0.473125,0.019818,0.627752,0.426423,0.008428,0.592767,0.403791,-0.007033,0.561672,0.38372,-0.020309,0.686614,0.450428,0.009789,0.632271,0.397356,0.000707,0.593953,0.374154,-0.011615,0.559604,0.356404,-0.022657,0.705844,0.434734,-0.004788,0.650763,0.381251,-0.016632,0.612497,0.364509,-0.024933,0.578057,0.354462,-0.031534,0.733593,0.424932,-0.021701,0.68319,0.382859,-0.033556,0.64701,0.370582,-0.038112,0.614955,0.364513,-0.041781
hola,0.882024,0.577475,-0.0,0.81258,0.58506,-0.006162,0.743062,0.539481,-0.005549,0.70372,0.497907,-0.008587,0.676698,0.464559,-0.011128,0.726506,0.419234,0.016414,0.671438,0.359623,0.003426,0.633665,0.324955,-0.011998,0.601813,0.295181,-0.024692,0.743966,0.392476,0.006677,0.681517,0.329191,-0.005307,0.638045,0.292031,-0.019559,0.600881,0.259474,-0.03057,0.770083,0.375988,-0.007292,0.711245,0.309764,-0.020755,0.667615,0.276318,-0.032422,0.629435,0.249651,-0.040425,0.807144,0.368441,-0.023266,0.759443,0.314266,-0.036091,0.72203,0.290111,-0.042869,0.688438,0.270917,-0.047366
hola,0.944277,0.57297,-0.0,0.86853,0.577958,-0.012627,0.79268,0.526868,-0.017033,0.751879,0.480563,-0.023883,0.729227,0.441704,-0.030264,0.782218,0.38949,0.004608,0.724402,0.319743,-0.014874,0.683373,0.279299,-0.034372,0.648509,0.246359,-0.049533,0.807422,0.363083,-0.004391,0.741301,0.290839,-0.023345,0.694362,0.247826,-0.042251,0.654645,0.209843,-0.055803,0.841623,0.349675,-0.017901,0.778994,0.273459,-0.037325,0.730539,0.233099,-0.052762,0.688254,0.199828,-0.062513,0.887282,0.34926,-0.033588,0.839029,0.285598,-0.052007,0.800232,0.252994,-0.062113,0.764551,0.225612,-0.068104
hola,0.270869,0.658053,0.0,0.319202,0.658925,-0.001633,0.363758,0.609482,0.003017,0.38462,0.564797,0.004851,0.381789,0.536056,0.005693,0.368059,0.545355,0.012198,0.401265,0.50993,0.003731,0.428142,0.487615,-0.005876,0.451935,0.466619,-0.014145,0.357998,0.530875,0.003281,0.398148,0.492893,-0.006311,0.430724,0.465836,-0.017037,0.460198,0.440628,-0.025152,0.343511,0.522316,-0.008362,0.386279,0.48477,-0.021609,0.420464,0.461052,-0.033292,0.449137,0.43827,-0.04048,0.325965,0.519013,-0.020674,0.364486,0.489402,-0.033307,0.393331,0.47084,-0.041574,0.418802,0.453474,-0.047678
hola,0.269136,0.662701,0.0,0.3184,0.660115,0.001315,0.363212,0.611205,0.007746,0.384658,0.569253,0.010889,0.384644,0.538781,0.013016,0.367241,0.547199,0.015677,0.400625,0.512058,0.007821,0.427809,0.489258,-0.001242,0.451655,0.467379,-0.009173,0.357468,0.532627,0.005518,0.398264,0.495665,-0.004225,0.430735,0.468892,-0.014736,0.460695,0.443571,-0.022467,0.343017,0.523593,-0.007275,0.386628,0.486621,-0.021153,0.421182,0.462973,-0.032649,0.450979,0.439196,-0.039468,0.325448,0.520051,-0.020428,0.365668,0.490592,-0.0339,0.39442,0.471529,-0.042221,0.420512,0.453607,-0.048125
hola,0.268748,0.666132,0.0,0.31843,0.662845,0.00135,0.362999,0.612911,0.007718,0.385485,0.571885,0.010488,0.386103,0.540444,0.012173,0.366354,0.552073,0.01761,0.399798,0.51587,0.009606,0.426857,0.49286,-0.000185,0.450504,0.470323,-0.008504,0.357395,0.537789,0.007322,0.397676,0.500019,-0.001621,0.430426,0.472687,-0.012335,0.460351,0.446811,-0.020361,0.343545,0.528371,-0.005773,0.386722,0.490042,-0.018291,0.420838,0.466887,-0.029274,0.450116,0.443694,-0.036014,0.326344,0.524212,-0.0194,0.364893,0.493625,-0.031428,0.393326,0.473887,-0.038913,0.419152,0.455301,-0.044416
hola,0.267968,0.66621,0.0,0.319847,0.662048,0.004136,0.363303,0.612045,0.011885,0.385699,0.572633,0.015472,0.38803,0.542258,0.017879,0.365483,0.551996,0.020191,0.399368,0.516023,0.012623,0.426766,0.493126,0.003144,0.451044,0.470715,-0.004968,0.356405,0.537468,0.008605,0.396632,0.500645,-0.000148,0.429549,0.473017,-0.010753,0.459802,0.447382,-0.018639,0.342675,0.527632,-0.005635,0.385628,0.490217,-0.017981,0.419859,0.466306,-0.028882,0.449613,0.443102,-0.035515,0.325679,0.523306,-0.020222,0.3652,0.493499,-0.032352,0.393533,0.474318,-0.03984,0.419453,0.456752,-0.045219
hola,0.265317,0.663775,0.0,0.316264,0.661452,0.001194,0.360886,0.609599,0.00674,0.383037,0.56634,0.008682,0.384775,0.535511,0.009518,0.366013,0.550278,0.01609,0.400178,0.514161,0.007574,0.426775,0.493628,-0.002501,0.450922,0.473541,-0.011035,0.356436,0.536143,0.005591,0.396622,0.497037,-0.003847,0.429175,0.469365,-0.014749,0.459391,0.443137,-0.02314,0.342175,0.526651,-0.007746,0.385454,0.488178,-0.020674,0.419585,0.464345,-0.032241,0.449122,0.440834,-0.039585,0.324736,0.522151,-0.02161,0.36405,0.492479,-0.034027,0.392932,0.473409,-0.042235,0.419382,0.455246,-0.048472
hola,0.265766,0.666154,0.0,0.318899,0.66234,0.003798,0.361723,0.610249,0.01025,0.382214,0.568131,0.01251,0.381123,0.537553,0.013362,0.362572,0.550403,0.018402,0.396995,0.513524,0.010139,0.424646,0.491936,0.000177,0.449583,0.471026,-0.00822,0.352888,0.53683,0.006364,0.393374,0.497696,-0.002617,0.427197,0.469379,-0.013531,0.457915,0.442856,-0.021905,0.338724,0.527617,-0.008293,0.382062,0.487784,-0.020638,0.41708,0.463221,-0.031992,0.446883,0.439588,-0.039145,0.321658,0.523625,-0.023293,0.361043,0.491269,-0.034938,0.390639,0.471921,-0.042514,0.417141,0.454316,-0.048303
